name;job;city;age;children;balance
Буклин Тимофей Александрович;Маникюрша;Таранто;59;3;351593
Яблонский Емельян Александрович;Реабилитолог;Бени-Суэйф;7;3;309295
Кабанова Лилия Михеевна;Монтажник;Тофоа-Колоа;72;4;877991
Терёшина Марина Игоревна;Изобретатель;Джовол;55;1;570252
Бирюкова Мария Данииловна;Вальцовщик стана горячей прокатки;Бурайда;72;1;326050
Ягунов Павел Моисеевич;Химик;Кейсон;48;3;367126
Саламатов Владислав Иосифович;Бондарь;Константина;56;2;215881
Кая Артём Никанорович;Диджей;Чачак;43;0;41351
Степихова Кира Несторовна;Мастер;Кастри;41;0;657654
Кошляк Иван Тарасович;Системный администратор;Харбел;59;4;619965
﻿Александрова Яна Марковна;Диспетчер;Мбарара;14;4;180755
Янушко Максим Левович;Радиоведущий;Яфран;28;0;940125
Одинцов Артур Олегович;Министр;Добеле;9;1;697998
Шапиро Степан Святославович;Актер;Табук;10;3;447510
Перешивкин Владимир Никанорович;Кассир;Тэбю;34;0;260895
Локтев Семён Евгениевич;Строитель;Никшич;67;3;345886
Дубов Серафим Эрнестович;Юрист;Пазарджик;69;4;170135
Сиянчук Павел Брониславович;Инженер;Таллин;10;3;199341
Дрягина Мария Александровна;Консультант по туризму;Светлогорск;29;4;423767
Сергеева Анна Георгиевна;Татуировщик;Нампула;48;2;844330
Балабанов Александр Мечиславович;Горняк;Нуакшот;55;0;701843
Киселева Диана Василиевна;Инкассатор;Мерида;10;4;800629
Баскакова Виктория Тимофеевна;Станочник широкого профиля;Тилбург;51;4;235718
Аникина Анисья Анатолиевна;Невропатолог;Бурайми;57;0;748871
Комзина Евдокия Анатолиевна;Рыбак;Флоренция;56;0;695587
Янкелевич Станислав Глебович;Бортмеханик;Сан-Луис;61;3;273285
Барышникова Дарья Ираклиевна;Звукорежиссер;Норрчёпинг;53;2;759949
Язвецов Венедикт Назарович;Комбайнер;Куяба;81;3;129394
Коренёв Глеб Егорович;Палеонтолог;Кербела;13;1;188263
Сизый Юлия Виталиевна;Правовед;Пита;80;1;407776
Тяпичев Вячеслав Измаилович;Страховой агент;Баямо;40;4;901886
Мещерякова Дарья Феликсовна;Моторист;Соннам;6;4;878754
Суботина Софья Борисовна;Web-программист;Несауалькойотль;20;2;730561
